GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
4201,0.0,0.0,0.0,-0.0,0.0,-0.0,-143.9,358.82,0.0,0.0,-283.53,-22.52,214.92,-306.06,-91.13
4251,0.0,0.0,-0.0,0.0,0.0,0.0,-153.5,320.33,0.0,0.0,-246.68,-23.16,166.82,-269.84,-103.02
4301,0.0,-0.0,-0.0,0.0,0.0,-0.0,-156.38,298.03,0.0,-0.0,-229.06,-24.39,141.65,-253.46,-111.81
4351,0.0,0.0,0.0,0.0,-0.0,-0.0,-145.76,291.92,-0.0,-0.0,-221.51,-22.65,146.16,-244.16,-98.0
4401,0.0,0.0,0.0,0.0,0.0,-0.0,-153.21,431.82,-0.0,0.0,-348.2,-21.59,278.61,-369.79,-91.18
4451,0.0,0.0,0.0,0.0,0.0,0.0,-152.95,312.14,0.0,-0.0,-238.01,-22.57,159.2,-260.58,-101.39
4501,0.0,0.0,-0.0,0.0,0.0,-0.0,-141.49,300.4,0.0,0.0,-233.04,-21.6,158.91,-254.64,-95.73
4551,-0.0,-0.0,0.0,0.0,0.0,0.0,-140.13,392.79,-0.0,-0.0,-320.97,-20.58,252.66,-341.55,-88.89
4601,-0.0,0.0,0.0,0.0,0.0,0.0,-154.32,384.48,0.0,-0.0,-303.35,-22.29,230.16,-325.64,-95.49
4651,-0.0,0.0,-0.0,0.0,0.0,-0.0,-149.51,379.95,0.0,0.0,-296.65,-22.29,230.43,-318.94,-88.51
4701,0.0,0.0,-0.0,0.0,-0.0,0.0,-161.97,353.57,0.0,0.0,-274.86,-23.39,191.61,-298.26,-106.65
