snapshot,time_ns,pock_volume,pock_asa,pock_pol_asa,pock_apol_asa,pock_asa22,pock_pol_asa22,pock_apol_asa22,nb_AS,mean_as_ray,mean_as_solv_acc,apol_as_prop,mean_loc_hyd_dens,hydrophobicity_score,volume_score,polarity_score,charge_score,prop_polar_atm,as_density,as_max_dst,convex_hull_volume,nb_abpa,ALA,ARG,ASN,ASP,CYS,GLN,GLU,GLY,HIS,ILE,LEU,LYS,MET,PHE,PRO,SER,THR,TRP,TYR,VAL
61.0,3.0500000000000003,138.83,115.57,50.36,65.21,68.67,40.0,28.67,39.0,3.71,0.38,0.77,27.2,23.83,5.0,5.0,0.0,23.08,1.39,5.59,3.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
62.0,3.1,224.05,157.86,60.05,97.82,90.91,46.95,43.96,104.0,3.84,0.47,0.79,77.66,13.86,4.71,5.0,0.0,28.57,2.04,5.23,10.32,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0
63.0,3.1500000000000004,270.04,162.26,53.57,108.69,115.07,53.91,61.16,97.0,3.95,0.46,0.81,73.72,13.4,5.2,5.0,0.0,27.78,2.06,5.72,12.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
64.0,3.2,246.72,141.48,46.07,95.4,125.15,48.69,76.45,90.0,4.2,0.55,0.89,75.7,22.5,5.0,4.0,-1.0,27.78,1.75,5.29,6.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
65.0,3.25,133.6,108.38,21.43,86.95,54.57,8.69,45.87,47.0,3.91,0.56,0.94,40.77,22.5,5.0,4.0,-1.0,16.67,1.15,3.87,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
66.0,3.3000000000000003,280.25,172.87,46.07,126.8,127.57,43.47,84.1,81.0,4.07,0.53,0.88,66.79,8.8,4.6,4.0,-1.0,26.67,1.83,4.89,8.34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0
67.0,3.35,288.46,173.69,39.64,134.05,120.26,20.87,99.39,97.0,4.11,0.57,0.81,74.86,13.86,4.71,5.0,0.0,22.22,2.2,5.83,7.09,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0
68.0,3.4000000000000004,238.25,160.26,60.02,100.23,94.39,50.43,43.96,91.0,4.09,0.5,0.6,51.31,13.4,5.2,5.0,0.0,29.41,1.88,5.02,8.41,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
69.0,3.45,209.23,131.85,26.79,105.06,80.12,20.87,59.25,64.0,3.76,0.64,0.47,25.8,13.4,5.2,5.0,0.0,22.22,1.56,4.42,2.89,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
70.0,3.5,162.0,97.77,38.59,59.17,73.18,33.04,40.14,73.0,4.01,0.57,0.78,52.18,13.4,5.2,5.0,0.0,35.71,1.32,4.02,2.73,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
